id,treatment,age,male,hhld_inc,white,republican,democrat,college,fb_min_wins_b,news_source_6_b,fb_activepassive
242,0,22,0,55,1,0,1,0,90,3,0.69555992
243,0,37,1,67,1,0,0,1,45,2,0.32885617
244,0,20,0,45,0,0,1,0,30,3,-0.03784757
245,1,45,0,45,0,1,0,1,90,1,1.4289674
246,0,32,1,55,1,1,0,1,90,5,-0.40455133
247,1,27,0,25,1,0,1,0,30,3,-0.40455133
248,1,61,1,67,1,0,0,1,45,2,-0.03784757
249,0,31,1,88,1,1,0,1,90,5,0.69555992
250,1,21,0,45,0,0,0,0,60,1,1.4289674
251,1,32,0,67,0,0,0,0,120,5,1.4289674
252,0,28,1,45,1,0,0,0,60,2,-1.8713663
253,0,29,1,55,1,1,0,1,90,4,0.32885617
254,0,29,1,45,1,0,1,1,120,5,-1.1379588
255,0,38,0,45,1,0,0,0,120,4,-0.03784757
256,0,26,1,35,0,0,0,1,30,2,1.4289674
257,0,27,1,88,0,0,1,0,120,5,-0.77125508
258,1,44,0,15,1,0,0,0,75,5,-1.1379588
259,1,42,0,45,1,0,0,0,120,4,1.0622636
260,1,35,0,25,1,1,0,0,120,5,0.69555992
261,1,66,0,35,1,0,0,1,60,5,-1.5046625
262,0,19,0,138,0,0,1,0,120,5,0.69555992
263,0,26,0,88,1,0,0,1,25,4,1.0622636
264,1,53,0,112,1,1,0,0,45,3,0.69555992
265,0,61,0,55,1,0,1,1,75,5,0.32885617
266,0,30,0,138,1,0,1,1,60,3,1.0622636
267,0,19,0,88,0,0,0,0,30,1,1.4289674
268,0,61,0,200,1,0,0,1,20,2,1.4289674
269,0,51,1,200,1,1,0,1,100,3,0.69555992
270,1,20,0,5,0,0,1,0,50,2,1.0622636
271,0,40,0,200,1,0,0,1,60,5,0.69555992
272,1,22,0,35,0,0,1,1,120,3,1.4289674
273,1,22,0,138,1,0,0,0,120,3,1.4289674
274,0,27,0,15,0,0,1,1,60,3,1.0622636
275,0,27,0,112,0,0,0,0,60,4,-0.03784757
276,1,34,1,67,1,0,1,0,45,2,-0.03784757
277,0,19,0,5,0,0,0,1,120,4,-1.1379588
278,0,27,1,45,0,0,0,1,60,4,0.69555992
279,0,31,1,45,1,0,0,1,55,2,-0.40455133
280,0,26,1,45,1,0,1,1,90,3,1.0622636
281,0,20,1,112,1,0,1,0,40,4,1.0622636
282,1,30,0,67,0,0,0,1,120,5,-2.23807
283,0,35,0,25,1,0,0,0,120,4,-1.5046625
